Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,JOMBANG,PADOMASAN,"10,848","4,031",35,26,"9,842","8,538","8,538","10,826",21,1,0,0,0,0,"5,413","5,435","3,982","5,819",287,760,495,752,782,643,742,739,743,661,751,800,839,798,696,535,414,458,117,"10,353",122,"10,470",97,"10,592",102,"10,689",57,"10,791",1,1,1,1,1,239,137,891,506,358,736,"2,455","1,474","3,266","1,815","1,548",39,37,207,7,0,93,151,90,271,1,0,2,0,0,1,1,6,"10,232","2,585",5,"1,167",32,64,"1,870","2,538",89,6,,
JAWA TIMUR,KAB. JEMBER,SUMBERBARU,PRINGGOWIRAWAN,"15,093","5,130",36,16,"12,569","11,071","11,071","15,080",9,4,0,0,0,0,"7,467","7,626","6,013","7,995",293,792,932,"1,276","1,349",897,"1,135","1,091","1,164","1,071","1,089","1,004","1,006",910,754,536,390,489,227,"14,161",249,"14,388",200,"14,637",172,"14,837",84,"15,009",2,2,1,1,1,476,244,"1,574",807,532,"1,030","5,196","2,476","5,051","1,309",881,16,26,129,7,2,34,47,19,58,1,0,2,0,0,0,2,1,"14,929","4,351",2,"1,529",17,243,"2,628","2,752",43,9,1,
JAWA TIMUR,KAB. JEMBER,TANGGUL,TANGGULWETAN,"17,573","6,074",28,59,"15,509","13,280","13,280","17,269",156,99,7,42,0,0,"8,818","8,755","7,159","8,810",428,"1,176","1,043","1,376","1,346","1,082","1,376","1,337","1,256","1,189","1,305","1,173","1,212","1,128",925,688,523,614,276,"16,530",230,"16,806",224,"17,036",207,"17,260",106,"17,467",2,1,1,1,1,506,277,"1,609",836,648,"1,195","4,909","2,076","4,585","2,490","2,708",57,135,568,44,1,113,137,58,302,2,0,2,0,1,0,2,10,"16,946","5,059",3,"1,880",123,188,"3,484","3,799",188,21,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,MUNDUREJO,"8,043","2,840",17,25,"7,139","6,166","6,166","8,007",23,9,4,0,0,0,"4,056","3,987","3,075","4,349",184,435,426,593,608,507,595,571,510,561,645,594,605,574,472,299,231,252,96,"7,617",115,"7,713",93,"7,828",73,"7,921",49,"7,994",1,1,1,1,1,211,119,688,394,302,585,"2,158",767,"2,550","1,314","1,044",29,43,132,6,0,37,39,13,96,4,0,3,0,0,0,4,4,"7,843","2,217",1,745,14,84,878,"1,612",50,12,,
JAWA TIMUR,KAB. JEMBER,TANGGUL,SELODAKON,"6,461","2,271",8,2,"5,543","5,009","5,009","6,459",1,1,0,0,0,0,"3,179","3,282","2,286","3,676",112,387,294,457,529,337,472,431,442,453,458,486,549,433,332,237,262,289,77,"6,167",65,"6,244",67,"6,309",47,"6,376",38,"6,423",1,1,1,1,1,142,92,564,330,204,391,"1,770","1,169","2,656",496,306,9,16,32,7,0,134,87,31,46,2,0,0,0,0,0,0,5,"6,156","1,721",1,546,5,33,920,"1,138",19,,,
JAWA TIMUR,KAB. JEMBER,SEMBORO,SEMBORO,"13,399","4,877",33,89,"12,241","10,452","10,452","13,283",103,11,2,0,0,0,"6,644","6,755","5,320","6,815",382,882,658,866,991,922,"1,000",871,821,921,"1,019",980,"1,076",926,806,595,395,552,142,"12,741",163,"12,883",160,"13,046",116,"13,206",77,"13,322",1,1,1,1,1,305,167,"1,078",612,577,905,"3,093","1,209","2,880","2,338","3,128",56,134,533,27,1,88,135,51,239,4,0,4,0,3,0,6,2,"12,867","3,783",3,"1,381",93,154,"2,847","2,104",147,17,,
JAWA TIMUR,KAB. JEMBER,PUGER,KASIYAN,"8,679","3,014",25,14,"7,316","6,684","6,684","8,657",7,10,0,5,0,0,"4,397","4,282","3,342","4,739",175,423,473,594,673,542,681,604,608,639,679,610,654,564,469,323,261,305,121,"8,206",131,"8,327",105,"8,458",77,"8,563",39,"8,640",1,2,1,1,0,252,109,733,425,325,610,"1,985",768,"2,850","1,504","1,295",29,56,186,6,0,51,47,21,86,1,0,1,0,0,1,6,2,"8,463","2,176",15,"1,032",11,94,"1,451","2,139",106,10,,
JAWA TIMUR,KAB. JEMBER,BANGSALSARI,PETUNG,"9,595","3,459",22,9,"8,281","7,328","7,328","9,574",10,7,0,4,0,0,"4,746","4,849","3,582","5,254",217,542,510,754,733,564,684,695,735,691,700,691,678,643,484,372,281,380,141,"9,085",131,"9,226",104,"9,357",85,"9,461",49,"9,546",2,1,1,1,1,272,142,881,464,324,628,"2,674","1,583","3,180","1,105",910,20,33,86,4,0,44,37,14,113,0,0,0,0,0,0,0,3,"9,384","2,619",2,927,21,187,"1,865","1,964",40,11,,
JAWA TIMUR,KAB. JEMBER,AMBULU,ANDONGSARI,"19,070","6,787",27,42,"17,356","14,875","14,875","18,913",102,44,3,0,0,8,"9,588","9,482","7,365","10,312",501,892,"1,035","1,201","1,391","1,264","1,418","1,374","1,329","1,209","1,407","1,385","1,548","1,356","1,098",760,629,666,246,"18,035",226,"18,281",231,"18,507",201,"18,738",131,"18,939",1,1,1,1,1,472,237,"1,522",833,775,"1,328","4,436","2,283","4,406","3,825","3,349",66,135,552,17,1,89,123,51,208,7,0,8,0,1,0,3,2,"18,578","4,669",2,"2,387",42,418,"3,150","3,407",220,26,,
JAWA TIMUR,KAB. JEMBER,MUMBULSARI,MUMBULSARI,"13,790","4,984",17,12,"11,256","10,433","10,433","13,767",10,11,0,2,0,0,"6,911","6,879","5,117","7,721",208,744,838,"1,060","1,017",846,"1,161","1,056",996,992,952,880,909,809,693,543,440,598,198,"12,952",214,"13,150",182,"13,364",156,"13,546",88,"13,702",2,2,1,1,1,412,223,"1,234",620,497,980,"4,164","1,773","4,990","1,414","1,111",38,63,224,13,0,57,52,12,85,2,0,0,0,1,0,0,0,"13,581","3,817",,"1,332",33,110,"2,873","2,714",90,13,,
JAWA TIMUR,KAB. JEMBER,ARJASA,BITING,"6,404","2,393",41,13,"5,737","4,920","4,920","6,386",15,3,0,0,0,0,"3,228","3,176","2,394","3,527",143,340,361,429,494,402,459,441,430,452,539,440,410,400,396,286,197,268,95,"6,043",67,"6,138",80,"6,205",69,"6,285",50,"6,354",2,1,1,1,1,162,83,540,300,248,423,"1,626",586,"1,858",817,"1,229",23,70,185,10,0,34,53,19,97,5,0,0,0,1,0,3,2,"6,190","1,850",1,519,23,46,"1,247","1,230",34,7,,
JAWA TIMUR,KAB. JEMBER,JELBUK,SUKOWIRYO,"5,205","2,101",10,9,"4,417","4,068","4,068","5,203",0,0,0,0,0,2,"2,601","2,604","1,615","3,158",128,304,300,331,370,275,405,394,388,345,394,354,338,318,276,238,208,271,83,"4,905",62,"4,988",66,"5,050",48,"5,116",41,"5,164",2,1,1,1,1,145,67,397,237,164,332,"1,951",817,"1,604",416,374,7,5,30,1,0,12,7,6,10,0,0,0,0,1,0,0,0,"5,169","1,324",,297,,34,971,593,14,,,
JAWA TIMUR,KAB. JEMBER,LEDOKOMBO,SUREN,"9,233","3,466",16,12,"6,984","7,181","7,181","9,221",6,0,4,2,0,0,"4,623","4,610","3,046","5,556",151,480,479,632,667,496,662,619,669,669,631,597,727,630,530,419,340,466,141,"8,754",101,"8,895",91,"8,996",84,"9,087",62,"9,171",2,1,1,1,1,242,129,751,419,309,570,"2,968","1,320","3,504",825,485,11,27,89,4,0,15,15,9,14,1,0,0,0,0,0,1,3,"9,175","2,226",2,767,6,112,"1,382","1,420",49,5,,
JAWA TIMUR,KAB. JEMBER,SUMBERJAMBE,GUNUNGMALANG,"8,767","3,389",18,0,"7,525","6,731","6,731","8,753",7,7,0,0,0,0,"4,352","4,415","2,913","5,267",189,398,490,614,659,510,663,627,605,595,659,634,601,554,486,380,276,414,119,"8,277",112,"8,396",98,"8,508",108,"8,606",53,"8,714",1,1,1,1,1,231,122,756,395,319,551,"2,900","1,589","3,044",723,407,11,19,72,2,0,34,19,11,40,5,0,0,0,1,0,1,0,"8,656","2,292",,594,5,79,"1,818",702,16,1,,
JAWA TIMUR,KAB. JEMBER,GUMUKMAS,GUMUKMAS,"14,959","5,330",35,37,"12,940","11,636","11,636","14,858",83,16,0,2,0,0,"7,501","7,458","5,436","8,370",402,751,726,"1,025","1,133",889,"1,098","1,007",996,"1,069","1,208","1,126","1,133","1,101",843,676,419,510,196,"14,233",169,"14,429",147,"14,598",136,"14,745",78,"14,881",1,1,1,1,1,365,208,"1,243",707,537,984,"4,016","1,776","4,893","2,198","1,649",40,55,322,10,0,80,165,83,179,4,0,1,0,3,0,1,1,"14,442","3,999",8,"1,335",32,163,"2,299","2,100",109,17,,
JAWA TIMUR,KAB. JEMBER,PUGER,MLOKOREJO,"11,280","3,983",39,34,"9,159","8,748","8,748","11,266",11,1,1,1,0,0,"5,653","5,627","4,301","6,166",235,578,617,758,832,668,873,835,836,792,801,826,900,736,635,462,334,375,160,"10,663",139,"10,823",138,"10,962",116,"11,100",64,"11,216",2,1,1,1,1,299,165,920,505,392,776,"2,723","1,061","3,945","1,805","1,400",39,61,230,13,3,51,87,26,108,5,1,2,0,0,0,2,1,"10,997","2,831",12,"1,329",27,131,"2,360","2,045",104,8,,
JAWA TIMUR,KAB. JEMBER,UMBULSARI,TEGALWANGI,"10,776","3,888",26,26,"9,666","8,266","8,266","10,752",21,0,3,0,0,0,"5,387","5,389","4,186","5,707",245,638,592,783,800,663,820,783,789,731,794,767,810,760,594,388,332,370,160,"10,184",147,"10,344",121,"10,491",90,"10,612",74,"10,702",2,1,1,1,1,307,150,933,500,398,753,"2,815","1,259","2,839","1,844","1,649",33,77,245,15,0,44,53,30,113,2,0,2,0,2,0,5,6,"10,519","2,901",4,"1,162",19,122,"1,718","2,119",104,4,,
JAWA TIMUR,KAB. JEMBER,TANGGUL,TANGGULKULON,"13,998","4,886",24,40,"12,673","10,748","10,748","13,701",179,81,4,30,3,0,"6,965","7,033","5,971","6,710",379,938,768,"1,003","1,022",934,"1,161","1,018",974,959,"1,039",997,951,932,741,609,404,486,223,"13,230",181,"13,453",155,"13,634",128,"13,789",81,"13,917",2,1,1,1,1,404,202,"1,177",646,557,"1,069","3,607","1,541","2,734","2,294","2,933",91,169,600,28,1,324,370,103,"2,712",10,0,3,0,3,1,7,3,"10,462","4,302",2,"1,510",145,405,"2,538","2,760",210,16,,
